cell_type,replicate,bin,psi,p,n
c17,1,1,0.8262116707436348,1.7187739497184333e-05,0.1350815123831963
c17,1,2,0.8919154661424963,1.777172798263039e-05,0.12346459951649805
c17,1,3,0.8039383582361465,1.953933312311028e-05,0.16320496701838527
c17,1,4,0.8854758743065151,1.7906083414705635e-05,0.12733116125412092
c17,2,1,0.709420020801953,1.987335744176836e-05,0.16901390532342148
c17,2,2,0.6863683766746288,2.1868639795160723e-05,0.20540426722108432
c17,2,3,0.6806645732115834,2.0522934053735346e-05,0.20478705302627503
c17,2,4,0.7709446354500655,1.9361220474445337e-05,0.14897376377496185
c2,1,1,0.7772645776042084,4.043607821133281e-05,0.2434652219993212
c2,1,2,0.7835944727623424,3.411775397867401e-05,0.26330847561561194
c2,1,3,0.7966946345993535,3.440046531315035e-05,0.2571710184932218
c2,1,4,0.7880844720125265,3.092835257739797e-05,0.2530485652439925
c2,2,1,0.6609317128123805,5.0527922007918404e-05,0.26039670090466804
c2,2,2,0.6620662934742579,5.706958103301825e-05,0.2793867248382057
c2,2,3,0.6587260914904681,7.01635741945791e-05,0.27619241627990465
c2,2,4,0.6774941151361911,6.701066527350608e-05,0.2950276534095039
c4,1,1,0.6871250191223867,5.2308620516728727e-05,0.2714988424192766
c4,1,2,0.713904766039056,2.5641486108137393e-05,0.27594317680492486
c4,1,3,0.7134286822131519,3.833408421026113e-05,0.2777220307522019
c4,1,4,0.7200028164946052,4.974052386062664e-05,0.24214662764012196
c4,2,1,0.7510392400043959,5.79842666658029e-06,0.23318624542636296
c4,2,2,0.7261235031311911,1.4782227945275462e-05,0.28297010415843793
c4,2,3,0.7122882149474049,0.0001088789285810446,0.2983626742530658
c4,2,4,0.7361562450418676,3.971122274029403e-05,0.24311776335174556
c1,1,1,0.8450116282392072,9.770404305437488e-05,0.22015225543793812
c1,1,2,0.8435748110613389,9.285966615025724e-05,0.23904621552912964
c1,1,3,0.9999995583197329,0.0008353247371862801,0.18076244546662817
c1,1,4,0.8311353859157465,0.00010781965135607953,0.23267830342796608
c1,2,1,0.7913264720461974,6.355135533646354e-05,0.24054539397797553
c1,2,2,0.8190590505884925,7.511375816593059e-05,0.24265691255257338
c1,2,3,0.8513287454968875,6.074024249459073e-05,0.21159458372926296
c1,2,4,0.7716534212943319,5.3278701789649485e-05,0.2599982821580792
c6,1,1,0.9370927314345343,5.29596689306864e-05,0.19953554218665834
c6,1,2,0.926068151033677,4.6094731750306056e-05,0.2137219632081379
c6,1,3,0.897639475106343,4.787302474601341e-05,0.22882627035067105
c6,1,4,0.9114453261992006,5.478140743223262e-05,0.21061634683735436
