cell_type,replicate,bin,wd1,wd2,psi,p1,n1,p2,n2
c2,1,1,0.18731946032466815,0.8126805396753318,0.9790085753998482,0.00032065649563513347,0.29190775935274715,0.000727008033977148,2.7609993656348477
c2,1,2,0.2099830495694448,0.7900169504305551,0.9807023624320319,0.00019166135076985433,0.3478897874162146,0.00037391703095938916,3.0258674595995942
c2,1,3,0.20552032659401623,0.7944796734059838,0.9740189703281874,0.00023775822068166364,0.3922030393063962,0.0004439153470237845,3.2088458028367124
c2,1,4,0.06594204136779341,0.9340579586322066,0.9983408404655134,0.046023362131815806,0.11489071194708936,8.305549324209736e-05,1.2683087561060555
c2,2,1,0.20526772269370833,0.7947322773062917,0.957104615075657,0.00018022766501129197,0.38645068499317337,0.00045677914435474516,2.7453191158435697
c2,2,2,0.17459746113504132,0.8254025388649586,0.9528549753513139,0.000345428261238046,0.4431041836432419,0.000496337046966666,2.8901822937274346
c2,2,3,0.20082828486160395,0.799171715138396,0.953741096488583,0.00029690810925947476,0.43328231524105887,0.0005302257979219411,2.832580183672312
c2,2,4,0.1726574162915568,0.8273425837084432,0.9991447269577239,3.4507174517496984e-05,0.156774285725773,5.098318966023356e-05,1.9037398452835388
c2,3,1,0.1552820474748522,0.8447179525251479,0.9995098383195324,0.000779634603654885,0.14993445909580416,0.0008331548106597005,2.1844364219006267
c2,3,2,0.17501451912765334,0.8249854808723468,0.9993528033216545,0.0005466107431127361,0.17459247768503855,0.0009945693309045696,2.4195633291782217
c2,3,3,0.17879105177129198,0.8212089482287079,0.995207791638636,0.0003323931601378524,0.17611153384442638,0.0006994192576398621,2.4568562242049916
c2,3,4,0.19372516467741652,0.8062748353225835,0.9987570300091921,0.0006176180559228725,0.20792459462881396,0.0009377993248497617,2.258255390303618
c4,1,1,0.0859410713545497,0.9140589286454502,0.9999984331514392,0.0835993966710957,0.217964744062806,0.00023654162312853876,1.6705599056353295
c4,1,2,0.08615331027939084,0.9138466897206092,0.9999987238110017,0.07435385875844609,0.21218752005856617,0.00018326657944272746,1.7500076624995928
c4,1,3,0.1690908315986631,0.830909168401337,0.9999990874237762,0.00014088061847108104,0.14301580627088992,0.000318708582553577,2.4485565686329753
c4,1,4,0.09453114644603924,0.9054688535539608,0.9999987375261918,0.078357922085745,0.21696343943262145,0.00018518823723482177,1.4748074810611316
c4,2,1,0.0971582010647456,0.9028417989352544,0.9566926018494579,0.004789770866366024,0.32548728856767184,0.0017863981848655467,2.258082225337435
c4,2,2,0.1689061806685711,0.8310938193314289,0.9501157692516838,0.0006168631568836754,0.36867376329395124,0.0013925632317033899,2.894461267410673
c4,2,3,0.16137434231646236,0.8386256576835377,0.9692005708730085,0.00027461236630706674,0.24027656496990368,0.000542190294089282,2.4923143855803014
c4,2,4,0.13186756483879397,0.868132435161206,0.9554812160856327,0.002210051694487643,0.35785495252702515,0.0013412055352082584,2.165617874529328
c1,1,1,0.1560764056378602,0.8439235943621399,0.9835845735535719,0.004903027802920079,0.2527033404096056,0.005000465982569115,2.378253690874415
c1,1,2,0.156195988748778,0.843804011251222,0.9977464488073884,0.000562447858566992,0.14530077326730334,0.0007524798887709523,1.9668558378001155
c1,1,3,0.16820489752602213,0.8317951024739779,0.963522575081221,0.0005751277806427163,0.2881102940334574,0.001102336066073714,2.477117192390429
c1,1,4,0.15694427553104978,0.8430557244689503,0.963295833080951,0.0002556814338902691,0.22490151557847937,0.0005547665841315908,2.1704290519724827
c17,1,1,0.14610467559109383,0.8538953244089063,0.9995675682701444,0.0002533139370843829,0.16670251428533356,0.00023163077654797114,2.1382471301817016
c17,1,2,0.1734587437696218,0.8265412562303782,0.9779197205469934,0.00010754080571997741,0.25440042575790567,0.00022528937551707177,2.728284703974489
c17,1,3,0.1741803856163946,0.8258196143836053,0.9873557095248361,0.00011903233845352364,0.20718694262210263,0.00022947065001749261,2.462575711003022
c17,1,4,0.1531672526959067,0.8468327473040933,0.993405903250255,0.00032637454421993,0.1885028753703077,0.00021107897918219267,1.8461571945996111
c17,2,1,0.14679936697809742,0.8532006330219026,0.9999517261117209,0.00015520286884684217,0.16294703950199496,0.00016574297799228638,2.2156061373764455
c17,2,2,0.17435823050562427,0.8256417694943756,0.975461964106226,0.0002642524958740933,0.2796064319175621,0.0005450029288110203,2.873562302034477
c17,2,3,0.1734516044347903,0.8265483955652096,0.9790863491878856,9.654554360285041e-05,0.2372739007499075,0.00018680777144815873,2.564874209341939
c17,2,4,0.15285051903845223,0.8471494809615477,0.9933843011626202,0.00024180040449380203,0.183965692568861,0.0001677248048202019,1.8829379008732556
c6,1,1,0.17023746469251252,0.8297625353074876,0.9997078624794109,0.0012562128264567932,0.1396619758866826,0.0033057421665046664,2.617955659520585
c6,1,2,0.1261961920714982,0.8738038079285019,0.9589229429603464,0.03383736211164051,0.335601255862032,0.010621333352346439,1.8387804849975422
c6,1,3,0.18974386072792432,0.8102561392720756,0.9989493289651559,0.00090818621404847,0.1399442844893144,0.0032906016429304933,2.418858895376993
c6,1,4,0.16924766396783,0.83075233603217,0.9693739183404253,0.0005921500120087889,0.1915076714118013,0.0014427586484258923,2.175434199347463
