cell_type,replicate,bin,psi,p,n
c1,1,1,0.9641703547196544,0.0025054509884161465,0.5489209540358274
c1,1,2,0.9715317722217004,0.0024124863648192713,1.0349923460836195
c1,1,3,0.9676575770930735,0.002384794585952104,0.9412222652108831
c1,1,4,0.9816177164989376,0.002279450694602592,1.2896423850552472
c10,1,1,0.9999991348806087,0.00043436353897995783,0.33307626191813255
c10,1,2,0.9631644647687331,0.000855299969498178,0.5846190318394969
c10,1,3,0.9600690337768648,0.0008721881992644486,0.6532451707610689
c10,1,4,0.999999966080731,0.0004154569035241901,0.2825642849552441
c13,1,1,0.9845783770172688,0.002191304681736248,1.631848757785423
c13,1,2,0.9850411282788819,0.0022975769436353807,1.5630582969838855
c13,1,3,0.9845606767697215,0.002385208874942652,1.4809628607423064
c13,1,4,0.9824701217946094,0.002480604458272304,1.4140442589103273
c13,2,1,0.9841341310355919,0.002441866795698027,1.707380849894908
c13,2,2,0.9849039705846917,0.002360164347998858,1.6835825707766934
c13,2,3,0.984820349111959,0.002138393546706973,1.5985912625515586
c13,2,4,0.9832580642782133,0.002055813017559918,1.5749201468643934
c17,1,1,0.9826033896240598,0.001662382908408012,1.49379886165072
c17,1,2,0.9834752916573238,0.002031345052908933,1.6279290576825196
c17,1,3,0.9835067219955429,0.001565114089462266,1.5672074148868567
c17,1,4,0.9807184174479869,0.0014665419405205707,1.177408795826229
c17,2,1,0.9805873637557339,0.0023378183879200582,1.5394671605572627
c17,2,2,0.9810967731041377,0.0020463690086545846,1.679434659504865
c17,2,3,0.9820823367504907,0.0019326032146046721,1.5859695692899531
c17,2,4,0.9794412093256057,0.001478559399392439,1.1943421008173047
c2,1,1,0.9779427487396287,0.0011549238012254,1.0269543402731767
c2,1,2,0.9783208399665582,0.0009898751526227802,1.081634563867359
c2,1,3,0.9801707805180886,0.0009987047998140147,1.1059370977619674
c2,1,4,0.9787649595141583,0.0012913628527532266,1.2010288317240974
c2,2,1,0.9770225233968916,0.0022490320035973167,1.4736623163118225
c2,2,2,0.977562705013872,0.0024348818880961212,1.607043167090383
c2,2,3,0.9754334455978559,0.002071477877783532,1.2874998091715195
c2,2,4,0.9783417506671336,0.002070530780928948,1.272816730861686
c4,1,1,0.9820975645818945,0.001984787109189899,1.6681595157872673
c4,1,2,0.9826877008688989,0.001959566377162487,1.7246683393733873
c4,1,3,0.9826727556100688,0.0018879631235197859,1.6191138096857611
c4,1,4,0.9785389760966506,0.0015301575087621857,1.3061353664681161
c4,2,1,0.9829667265972273,0.0020296927950234417,1.662431733651942
c4,2,2,0.9831590259556379,0.0021339178677902302,1.72018920729847
c4,2,3,0.9814377579589835,0.002012670528685143,1.5353932509215888
c4,2,4,0.9659058162487282,0.0015960546789614805,0.6843433755354346
c6,1,1,0.9797499298114929,0.0014751737370617302,1.167337425600224
c6,1,2,0.9806695317782849,0.0019692802512169183,1.3619532698610113
c6,1,3,0.9811554506476209,0.002378601016811433,1.450424215290079
c6,1,4,0.9805436215944796,0.001996365066178713,1.2273785631227434
c6,2,1,0.97876254824344,0.0020359962001843374,1.3489979154456244
c6,2,2,0.9805751448705009,0.0018394080956197637,1.504184189469445
c6,2,3,0.980807164217076,0.0018428096864395783,1.406464191865434
c6,2,4,0.9772068824579595,0.0018530505893504649,1.2510740434614631
