exp_type,replicate,bin,wd1,wd2,psi,p1,n1,p2,n2
gDNA,1,1,0.07164302453087784,0.9283569754691221,0.9943139071900482,0.002141262390671673,0.8821966284158909,0.00227668148840651,3.3342945936060655
gDNA,1,2,0.04796483725527046,0.9520351627447295,0.9958277770103502,0.004243959784304071,0.7576546892248058,0.001494837818654064,2.4768881634026685
gDNA,1,3,0.0979565316149706,0.9020434683850295,0.9968261726289948,0.0013741218185092832,0.8242456989219199,0.0022599267817739873,3.7259982406059704
gDNA,1,4,0.12757594823110005,0.8724240517689,0.9967986147657154,0.0012370478718416106,0.8609625786894599,0.002278999540374086,4.099889536967915
gDNA,1,5,0.12331964734902261,0.8766803526509774,0.9974687215049747,0.0011818174228904453,0.9083147417196289,0.0023246458396641405,4.385849440435235
gDNA,1,6,0.11253100691085463,0.8874689930891453,0.9963966408334729,0.0010977919467158711,0.8881495101501511,0.002536957115724762,4.439157359897718
gDNA,1,7,0.13170114182886825,0.8682988581711318,0.9961086582076271,0.0010069264603533722,0.8426682112368379,0.002007580059477276,3.872751735648624
gDNA,1,8,0.07559833463860054,0.9244016653613996,0.9938147373248545,0.0027498016543521285,0.48834026870730435,0.0011114053054619402,2.1001879662584235
gDNA,2,1,0.05192954403186703,0.9480704559681329,0.9987707225139614,0.0013896078868343808,0.4460532757294025,0.0015047756668297562,2.8306893575621412
gDNA,2,2,0.051673639638205864,0.9483263603617942,0.9973304133171795,0.0025268717965719646,0.727864398381809,0.0013196126673893228,2.5868230300319994
gDNA,2,3,0.08022391484121329,0.9197760851587866,0.9999999826017169,0.0001225564654782475,0.5405198711338159,0.00017375079858512042,2.6059588470816326
gDNA,2,4,1.232392839210763e-11,0.9999999999876761,0.999999999999974,0.9709346488126883,9.208636977402183,3.199073652806922e-05,0.48823929645624925
gDNA,2,5,0.026812151099895154,0.9731878489001048,0.9999964912739713,0.006568551979267213,0.530820551701605,0.0002529277969076356,2.8877714025208934
gDNA,2,6,0.13714763776445144,0.8628523622355487,0.9978875600980334,0.0001566840003039442,0.7035348594133967,0.0003023660166352388,3.493725080712041
gDNA,2,7,0.09339609360097201,0.906603906399028,0.9999999861501061,9.151621398873366e-05,0.6091391085826546,0.0002642237466091777,3.8682955598479025
gDNA,2,8,0.058236088888688,0.941763911111312,0.9936100071897639,0.05125522845006774,1.179497730371332,0.0007731803594247189,1.7228863881342789
